2013-11-27 16:06:17 status unpacked libncurses5:armhf 5.9+20130608-1ubuntu1
2013-11-27 16:06:17 status unpacked libncurses5:armhf 5.9+20130608-1ubuntu1
2013-11-27 16:06:17 install libncursesw5:armhf <none> 5.9+20130608-1ubuntu1
2013-11-27 16:06:17 status half-installed libncursesw5:armhf 5.9+20130608-1ubuntu1
2013-11-27 16:06:17 status unpacked libncursesw5:armhf 5.9+20130608-1ubuntu1
2013-11-27 16:06:17 status unpacked libncursesw5:armhf 5.9+20130608-1ubuntu1
2013-11-27 16:06:17 install libnih-dbus1:armhf <none> 1.0.3-4ubuntu16
2013-11-27 16:06:17 status half-installed libnih-dbus1:armhf 1.0.3-4ubuntu16
2013-11-27 16:06:17 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu16
2013-11-27 16:06:18 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu16
2013-11-27 16:06:18 install libnih1:armhf <none> 1.0.3-4ubuntu16
2013-11-27 16:06:18 status half-installed libnih1:armhf 1.0.3-4ubuntu16
2013-11-27 16:06:18 status unpacked libnih1:armhf 1.0.3-4ubuntu16
2013-11-27 16:06:18 status unpacked libnih1:armhf 1.0.3-4ubuntu16
2013-11-27 16:06:18 install libpam-modules:armhf <none> 1.1.3-8ubuntu3
2013-11-27 16:06:18 status half-installed libpam-modules:armhf 1.1.3-8ubuntu3
2013-11-27 16:06:19 status unpacked libpam-modules:armhf 1.1.3-8ubuntu3
2013-11-27 16:06:19 status unpacked libpam-modules:armhf 1.1.3-8ubuntu3
2013-11-27 16:06:19 install libpam-modules-bin:armhf <none> 1.1.3-8ubuntu3
2013-11-27 16:06:19 status half-installed libpam-modules-bin:armhf 1.1.3-8ubuntu3
2013-11-27 16:06:19 status unpacked libpam-modules-bin:armhf 1.1.3-8ubuntu3
2013-11-27 16:06:19 status unpacked libpam-modules-bin:armhf 1.1.3-8ubuntu3
2013-11-27 16:06:20 install libpam-runtime:all <none> 1.1.3-8ubuntu3
2013-11-27 16:06:20 status half-installed libpam-runtime:all 1.1.3-8ubuntu3
2013-11-27 16:06:20 status unpacked libpam-runtime:all 1.1.3-8ubuntu3
2013-11-27 16:06:20 status unpacked libpam-runtime:all 1.1.3-8ubuntu3
2013-11-27 16:06:20 install libpam0g:armhf <none> 1.1.3-8ubuntu3
2013-11-27 16:06:20 status half-installed libpam0g:armhf 1.1.3-8ubuntu3
2013-11-27 16:06:20 status unpacked libpam0g:armhf 1.1.3-8ubuntu3
2013-11-27 16:06:20 status unpacked libpam0g:armhf 1.1.3-8ubuntu3
2013-11-27 16:06:20 install libpcre3:armhf <none> 1:8.31-2
2013-11-27 16:06:20 status half-installed libpcre3:armhf 1:8.31-2
2013-11-27 16:06:21 status unpacked libpcre3:armhf 1:8.31-2
2013-11-27 16:06:21 status unpacked libpcre3:armhf 1:8.31-2
2013-11-27 16:06:21 install libplymouth2:armhf <none> 0.8.8-0ubuntu8
2013-11-27 16:06:21 status half-installed libplymouth2:armhf 0.8.8-0ubuntu8
2013-11-27 16:06:21 status unpacked libplymouth2:armhf 0.8.8-0ubuntu8
2013-11-27 16:06:21 status unpacked libplymouth2:armhf 0.8.8-0ubuntu8
2013-11-27 16:06:21 install libpng12-0:armhf <none> 1.2.49-4ubuntu1
2013-11-27 16:06:21 status half-installed libpng12-0:armhf 1.2.49-4ubuntu1
